2026-08-02 16:31:32,460 phase1_complete | sensor1=1 sensor2=0 duration_sec=1.15
2026-08-02 16:31:34,263 motor2_extra_feed_complete | sensor1=1 sensor2=0 duration_sec=1.8
2026-08-02 16:31:34,268 phase2_wait_clear_start | sensor1=1 sensor2=0 timeout_sec=2.5
2026-08-02 16:31:34,842 phase2_complete | sensor1=0 sensor2=1 duration_sec=0.57
2026-08-02 16:31:34,847 phase3_wait_block_start | sensor1=0 sensor2=1 timeout_sec=4.0
2026-08-02 16:31:34,890 phase3_complete | sensor1=0 sensor2=1 duration_sec=0.04
2026-08-02 16:31:34,894 cycle_success | sensor1=0 sensor2=1 total_duration_sec=3.59
2026-08-02 16:31:34,896 run_complete | sensor1=0 sensor2=1 success=True
2026-08-02 16:31:45,561 cycle_start | sensor1=0 sensor2=0 attempt=1 max_attempts=1
2026-08-02 16:31:45,562 phase1_wait_block_start | sensor1=0 sensor2=0 timeout_sec=5.0
2026-08-02 16:31:48,275 phase1_complete | sensor1=1 sensor2=0 duration_sec=2.71
2026-08-02 16:31:50,077 motor2_extra_feed_complete | sensor1=1 sensor2=0 duration_sec=1.8
2026-08-02 16:31:50,081 phase2_wait_clear_start | sensor1=1 sensor2=0 timeout_sec=2.5
2026-08-02 16:31:51,966 phase2_complete | sensor1=0 sensor2=0 duration_sec=1.89
2026-08-02 16:31:51,969 phase3_wait_block_start | sensor1=0 sensor2=0 timeout_sec=4.0
2026-08-02 16:31:54,307 phase3_complete | sensor1=1 sensor2=1 duration_sec=2.34
2026-08-02 16:31:54,309 cycle_success | sensor1=1 sensor2=1 total_duration_sec=8.75
2026-08-02 16:31:54,310 run_complete | sensor1=1 sensor2=1 success=True
2026-08-02 16:32:06,919 cycle_start | sensor1=0 sensor2=0 attempt=1 max_attempts=1
2026-08-02 16:32:06,921 phase1_wait_block_start | sensor1=0 sensor2=0 timeout_sec=5.0
2026-08-02 16:32:09,703 phase1_complete | sensor1=1 sensor2=0 duration_sec=2.78
2026-08-02 16:32:11,506 motor2_extra_feed_complete | sensor1=1 sensor2=0 duration_sec=1.8
2026-08-02 16:32:11,509 phase2_wait_clear_start | sensor1=1 sensor2=0 timeout_sec=2.5
2026-08-02 16:32:12,090 phase2_complete | sensor1=0 sensor2=1 duration_sec=0.58
2026-08-02 16:32:12,094 phase3_wait_block_start | sensor1=0 sensor2=1 timeout_sec=4.0
2026-08-02 16:32:12,136 phase3_complete | sensor1=0 sensor2=1 duration_sec=0.04
2026-08-02 16:32:12,138 cycle_success | sensor1=0 sensor2=1 total_duration_sec=5.22
2026-08-02 16:32:12,139 run_complete | sensor1=0 sensor2=1 success=True
2026-08-02 16:32:25,643 cycle_start | sensor1=0 sensor2=0 attempt=1 max_attempts=1
2026-08-02 16:32:25,645 phase1_wait_block_start | sensor1=0 sensor2=0 timeout_sec=5.0
2026-08-02 16:32:26,794 phase1_complete | sensor1=1 sensor2=0 duration_sec=1.15
2026-08-02 16:32:28,597 motor2_extra_feed_complete | sensor1=1 sensor2=0 duration_sec=1.8
2026-08-02 16:32:28,602 phase2_wait_clear_start | sensor1=1 sensor2=0 timeout_sec=2.5
2026-08-02 16:32:28,723 phase2_complete | sensor1=0 sensor2=1 duration_sec=0.12
2026-08-02 16:32:28,730 phase3_wait_block_start | sensor1=0 sensor2=1 timeout_sec=4.0
2026-08-02 16:32:28,774 phase3_complete | sensor1=0 sensor2=1 duration_sec=0.04
2026-08-02 16:32:28,777 cycle_success | sensor1=0 sensor2=1 total_duration_sec=3.13
2026-08-02 16:32:28,778 run_complete | sensor1=0 sensor2=1 success=True
2026-08-02 16:32:38,645 cycle_start | sensor1=0 sensor2=0 attempt=1 max_attempts=1
2026-08-02 16:32:38,647 phase1_wait_block_start | sensor1=0 sensor2=0 timeout_sec=5.0
2026-08-02 16:32:41,537 phase1_complete | sensor1=1 sensor2=0 duration_sec=2.89
2026-08-02 16:32:43,339 motor2_extra_feed_complete | sensor1=1 sensor2=0 duration_sec=1.8
2026-08-02 16:32:43,344 phase2_wait_clear_start | sensor1=1 sensor2=0 timeout_sec=2.5
2026-08-02 16:32:45,261 phase2_complete | sensor1=0 sensor2=0 duration_sec=1.92
2026-08-02 16:32:45,265 phase3_wait_block_start | sensor1=0 sensor2=0 timeout_sec=4.0
2026-08-02 16:32:47,729 phase3_complete | sensor1=0 sensor2=1 duration_sec=2.47
2026-08-02 16:32:47,735 cycle_success | sensor1=0 sensor2=1 total_duration_sec=9.09
2026-08-02 16:32:47,737 run_complete | sensor1=0 sensor2=1 success=True
